epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall
1,0.1742320050926585,0.9454141940389361,0.9735099337748344,0.43137254901960786,0.9649122807017544,0.40816326530612246,0.9821428571428571,0.30303030303030304,0.9482758620689655,0.625
2,0.1679239100531528,0.9773012144224984,0.9602649006622517,0.47058823529411764,0.9473684210526315,0.4489795918367347,0.9642857142857143,0.3333333333333333,0.9310344827586207,0.6875
3,0.15595303358216034,1.0130101868084498,0.9536423841059603,0.43137254901960786,0.9391304347826087,0.40816326530612246,0.9473684210526315,0.30303030303030304,0.9310344827586207,0.625
4,0.1209018295140643,1.197495128427233,0.9867549668874173,0.45098039215686275,0.9827586206896551,0.48148148148148145,0.9827586206896551,0.34210526315789475,0.9827586206896551,0.8125
5,0.10330070182681084,1.0895244223730904,0.9933774834437086,0.47058823529411764,0.991304347826087,0.4489795918367347,1.0,0.3333333333333333,0.9827586206896551,0.6875
6,0.10900969048471827,1.190570320401873,0.9867549668874173,0.45098039215686275,0.9827586206896551,0.46153846153846156,0.9827586206896551,0.3333333333333333,0.9827586206896551,0.75
7,0.08312606301746871,1.1801294854709081,0.9933774834437086,0.45098039215686275,0.991304347826087,0.44,1.0,0.3235294117647059,0.9827586206896551,0.6875
8,0.08145877150328536,1.263903524194445,1.0,0.47058823529411764,1.0,0.49056603773584906,1.0,0.35135135135135137,1.0,0.8125
9,0.06467597735555548,1.3096548574311393,1.0,0.45098039215686275,1.0,0.46153846153846156,1.0,0.3333333333333333,1.0,0.75
10,0.05993111353171499,1.2046974641936166,1.0,0.49019607843137253,1.0,0.48,1.0,0.35294117647058826,1.0,0.75
11,0.059931913880925426,1.3910627194813319,1.0,0.47058823529411764,1.0,0.49056603773584906,1.0,0.35135135135135137,1.0,0.8125
12,0.050070435691036676,1.300809987953731,1.0,0.47058823529411764,1.0,0.47058823529411764,1.0,0.34285714285714286,1.0,0.75
13,0.052787639298721364,1.313450242791857,1.0,0.47058823529411764,1.0,0.47058823529411764,1.0,0.34285714285714286,1.0,0.75
14,0.045303375607258396,1.34503150837762,1.0,0.45098039215686275,1.0,0.46153846153846156,1.0,0.3333333333333333,1.0,0.75
15,0.0414580858655666,1.3329024059431893,1.0,0.47058823529411764,1.0,0.47058823529411764,1.0,0.34285714285714286,1.0,0.75
16,0.04060288067711027,1.315099801336016,1.0,0.49019607843137253,1.0,0.48,1.0,0.35294117647058826,1.0,0.75
17,0.0357210546437847,1.3874123437064034,1.0,0.47058823529411764,1.0,0.47058823529411764,1.0,0.34285714285714286,1.0,0.75
18,0.036459603886071,1.4135983756610326,1.0,0.45098039215686275,1.0,0.46153846153846156,1.0,0.3333333333333333,1.0,0.75
19,0.0343029394157623,1.4078381827899389,1.0,0.45098039215686275,1.0,0.46153846153846156,1.0,0.3333333333333333,1.0,0.75
20,0.04011723178585893,1.4196450114250183,1.0,0.45098039215686275,1.0,0.46153846153846156,1.0,0.3333333333333333,1.0,0.75
