Model,Accuracy,Precision,Recall,F1_Score
XGBoost,0.3137254901960784,0.3137254901960784,1.0,0.47761194029850745
RandomForest,0.7254901960784313,0.6666666666666666,0.25,0.36363636363636365
SVM,0.6862745098039216,0.5,0.3125,0.38461538461538464
